catalog_no,name,sizes,prices,purity,endotoxin_level,expression_system,url
Z06018,"AXL, His, Mouse",100 μg/500 μg/Buy in bulk,170.00/560.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06018-AXL_His_Mouse.html
Z06017,"ASPH, His, Mouse",100 μg/500 μg/Buy in bulk,340.00/1120.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,E.coli,https://www.genscript.com/protein/Z06017-ASPH_His_Mouse.html
Z06016,"ASGR1, His, Mouse",100 μg/500 μg/Buy in bulk,390.00/1310.00,> 95% as determined by BisTris PAGE,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06016-ASGR1_His_Mouse.html
Z06015,"ARTN hFc Chimera, Mouse",100 μg/500 μg/Buy in bulk,370.00/1250.00,> 95% as determined by Bis-Tris PAGE,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06015-ARTN_hFc_Chimera_Mouse.html
Z03162,"Betacellulin, Mouse(HEK 293-expressed)",10 μg/50 μg/1 mg/Buy in bulk,60.00/180.00/1245.00,> 95% as analyzed by SDS-PAGE > 95% as analyzed by HPLC,< 0.2 EU/μg of protein by gel clotting method,HEK 293,https://www.genscript.com/protein/Z03162-Betacellulin_Mouse_HEK_293_expressed_.html
Z03852,"BCMA/TNFRSF17 , His, Cynomolgus/Rhesus macaque",100 μg/500 μg/Buy in bulk,400.00/1400.00,"> 95% as determined by Bis-Tris PAGE 
> 95% as determined by HPLC",Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z03852-BCMA_TNFRSF17_His_Cynomolgus_Rhesus_macaque.html
Z04358,"BAFF/TNFSF13B/CD257 Trimer[Biotin], His & Avi & Flag, Cynomolgus",100 μg/500 μg/Buy in bulk,660.00/2190.00,> 95% as determined by Bis-Tris PAGE,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04358-BAFF_TNFSF13B_CD257_Trimer_Biotin_His_Avi_Flag_Cynomolgus.html
Z04419,"BTN3A1/CD277[Biotin], His & Avi, Human",100 μg/500 μg/Buy in bulk,660.00/2190.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per ug by the LAL method.,HEK293,https://www.genscript.com/protein/Z04419-BTN3A1_CD277_Biotin_His_Avi_Human.html
Z04750,"BSPII, His, Cynomolgus",100 μg/500 μg/Buy in bulk,390.00/1310.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04750-BSPII_His_Cynomolgus.html
Z05057,"B7-H2/ICOSLG, His & Avi, Human",100 μg/500 μg/Buy in bulk,210.00/690.00,> 95% as determined by Bis-Tris PAGE > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z05057-B7_H2_ICOSLG_His_Avi_Human.html
Z05072,"BAFFR/TNFRSF13C, His, Human",100 μg/500 μg/Buy in bulk,430.00/1440.00,> 95% as determined by Bis-Tris PAGE,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z05072-BAFFR_TNFRSF13C_His_Human.html
Z05087,"BST2 hFc Chimera, Human",100 μg/500 μg/Buy in bulk,340.00/1120.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z05087-BST2_hFc_Chimera_Human.html
Z06019,"B2M/beta 2-Microglobulin hFc Chimera, Mouse",100 μg/500 μg/Buy in bulk,260.00/870.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06019-B2M_beta_2_Microglobulin_hFc_Chimera_Mouse.html
Z06034,"BSPII, His, Mouse",100 μg/500 μg/Buy in bulk,390.00/1310.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06034-BSPII_His_Mouse.html
Z06804,"BCMA(TNFRSF17) hFc Chimera [iFluor 488], Human",200 μl/Buy in bulk,1200.00,N/A,N/A,N/A,https://www.genscript.com/antibody/Z06804-BCMA_TNFRSF17_hFc_Chimera_iFluor_488_Human.html
Z06803,"BCMA(TNFRSF17) hFc Chimera [iFluor 647], Human",200 μl/Buy in bulk,1200.00,N/A,N/A,N/A,https://www.genscript.com/antibody/Z06803-BCMA_TNFRSF17_hFc_Chimera_iFluor_647_Human.html
Z06802,"BCMA(TNFRSF17) hFc Chimera [Biotin], Human",200 μl/Buy in bulk,660.00,N/A,N/A,N/A,https://www.genscript.com/antibody/Z06802-BCMA_TNFRSF17_hFc_Chimera_Biotin_Human.html
Z06800,"BCMA TNFRSF17 hFc Chimera, Human",100 μg/1 mg/Buy in bulk,310.00/2040.00,≥ 95% as analyzed by reducing SDS-PAGE,< 0.2 EU/μg of protein by gel clotting method,N/A,https://www.genscript.com/antibody/Z06800-BCMA_TNFRSF17_hFc_Chimera_Human.html
Z06039,"BTN2A2, His, Mouse",100 μg/500 μg/Buy in bulk,340.00/1120.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06039-BTN2A2_His_Mouse.html
Z03418,"CD47 Fc Chimera, Human",100 μg/1 mg/Buy in bulk,350.00/1500.00,> 97% as analyzed by SDS-PAGE,< 0.2 EU/μg of protein by gel clotting method,HEK 293,https://www.genscript.com/protein/Z03418-CD47_Fc_Chimera_Human.html
Z03586,"CCL25, Mouse",100 μg/1 mg/Buy in bulk,605.00/2920.00,> 95% as analyzed by SDS-PAGE > 95% as analyzed by HPLC,< 1 EU/μg of protein by LAL method,E. coli,https://www.genscript.com/protein/Z03586-CCL25_Mouse.html
Z03831,"CEACAM-5/CD66e (323-500), His, Human",100 μg/500 μg/Buy in bulk,450.00/970.00,"> 95% as determined by Bis-Tris PAGE 
> 95% as determined by HPLC",Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z03831-CEACAM_5_CD66e_323_500_His_Human.html
Z03982,"CD2/SRBC, His, Human",100 μg/500 μg/Buy in bulk,370.00/1250.00,"> 95% as determined by Bis-Tris PAGE 
> 95% as determined by SEC-HPLC",Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z03982-CD2_SRBC_His_Human.html
Z03999,"CD3E&CD3G, His & Flag, Cynomolgus",100 μg/500 μg/Buy in bulk,370.00/1250.00,"> 95% as determined by Bis-Tris PAGE 
> 95% as determined by HPLC",Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z03999-CD3E_CD3G_His_Flag_Cynomolgus.html
Z04016,"CD4/LEU3, His, Mouse",100 μg/500 μg/Buy in bulk,300.00/1000.00,"> 95% as determined by Bis-Tris PAGE 
> 95% as determined by HPLC",Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04016-CD4_LEU3_His_Mouse.html
Z04033,"CD7, His, Cynomolgus",100 μg/500 μg/Buy in bulk,390.00/1310.00,"> 95% as determined by Bis-Tris PAGE 
> 95% as determined by HPLC",Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04033-CD7_His_Cynomolgus.html
Z04059,"CD24[Biotin], His & Avi, Human",100 μg/500 μg/Buy in bulk,660.00/2190.00,"> 95% as determined by Bis-Tris PAGE 
> 95% as determined by HPLC",Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04059-CD24_Biotin_His_Avi_Human.html
Z04074,"CD93/C1q R1[Biotin], His & Avi, Human",100 μg/500 μg/Buy in bulk,660.00/2190.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04074-CD93_C1q_R1_Biotin_His_Avi_Human.html
Z04113,"CD27/TNFRSF7, His, Cynomolgus/Rhesus macaque",100 μg/500 μg/Buy in bulk,340.00/1120.00,"> 95% as determined by BisTris PAGE 
> 95% as determined by HPLC",Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04113-CD27_TNFRSF7_His_Cynomolgus_Rhesus_macaque.html
Z04128,"CD96/TACTILE, His, Cynomolgus",100 μg/500 μg/Buy in bulk,390.00/1310.00,> 95% as determined by BisTris PAGE,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04128-CD96_TACTILE_His_Cynomolgus.html
Z04160,"CD160, His & Avi, Human",100 μg/500 μg/Buy in bulk,300.00/1000.00,> 95% as determined by BisTris PAGE > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04160-CD160_His_Avi_Human.html
Z04176,"CD24 mFc Chimera, Human",100 μg/500 μg/Buy in bulk,390.00/1310.00,"> 95% as determined by Bis-Tris PAGE 
> 95% as determined by HPLC",Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04176-CD24_mFc_Chimera_Human.html
Z04191,"CD300c/LMIR2, His, Human",100 μg/500 μg/Buy in bulk,280.00/940.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04191-CD300c_LMIR2_His_Human.html
Z04208,"CD43, His, Human",100 μg/500 μg/Buy in bulk,370.00/1250.00,> 90% as determined by Bis-Tris PAGE,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z04208-CD43_His_Human.html
Z03950,"DLL3 (27-215), His&Flag, Human",100 μg/500 μg/Buy in bulk,450.00/1500.00,"> 95% as determined by Bis-Tris PAGE 
> 95% as determined by HPLC",Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z03950-DLL3_27_215_His_Flag_Human.html
Z04695,"DDT, His, Canine",100 μg/500 μg/Buy in bulk,340.00/1120.00,> 95% as determined by BisTris PAGE,Less than 1EU per μg by the LAL method.,E.coli,https://www.genscript.com/protein/Z04695-DDT_His_Canine.html
Z05218,"DKK1 hFc Chimera, Human",100 μg/500 μg/Buy in bulk,300.00/1000.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z05218-DKK1_hFc_Chimera_Human.html
Z06086,"DLK1, His, Mouse",100 μg/500 μg/Buy in bulk,320.00/1060.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06086-DLK1_His_Mouse.html
Z06417,"DPP3, His, Rat",100 μg/500 μg/Buy in bulk,390.00/1310.00,> 95% as determined by BisTris PAGE,Less than 1EU per μg by the LAL method.,E.coli,https://www.genscript.com/protein/Z06417-DPP3_His_Rat.html
Z06091,"DSG3, His, Mouse",100 μg/500 μg/Buy in bulk,340.00/1120.00,> 95% as determined by BisTris PAGE  > 90% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06091-DSG3_His_Mouse.html
Z06090,"DSG-2/Desmoglein-2, His, Mouse",100 μg/500 μg/Buy in bulk,340.00/1120.00,> 95% as determined by Bis-Tris PAGE,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06090-DSG_2_Desmoglein_2_His_Mouse.html
Z06089,"DR6/TNFRSF21, His, Mouse",100 μg/500 μg/Buy in bulk,190.00/620.00,> 95% as determined by Bis-Tris PAGE,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06089-DR6_TNFRSF21_His_Mouse.html
Z06088,"DR3/TNFRSF25, His, Mouse",100 μg/500 μg/Buy in bulk,390.00/1310.00,> 95% as determined by Bis-Tris PAGE > 95% as determined by HPLC,Less than 1 EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06088-DR3_TNFRSF25_His_Mouse.html
Z06087,"DPP3, His, Mouse",100 μg/500 μg/Buy in bulk,390.00/1310.00,> 95% as determined by BisTris PAGE,Less than 1EU per μg by the LAL method.,E.coli,https://www.genscript.com/protein/Z06087-DPP3_His_Mouse.html
Z06085,"DDT, His, Mouse",100 μg/500 μg/Buy in bulk,340.00/1120.00,> 95% as determined by BisTris PAGE,Less than 1EU per μg by the LAL method.,E.coli,https://www.genscript.com/protein/Z06085-DDT_His_Mouse.html
Z06084,"DDR2, His, Mouse",100 μg/500 μg/Buy in bulk,340.00/1120.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06084-DDR2_His_Mouse.html
Z06083,"DDR1, His, Mouse",100 μg/500 μg/Buy in bulk,340.00/1120.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z06083-DDR1_His_Mouse.html
Z06082,"DDC, His, Mouse",100 μg/500 μg/Buy in bulk,370.00/1250.00,> 95% as determined by BisTris PAGE,Less than 1EU per μg by the LAL method.,Baculovirus-Insect Cells,https://www.genscript.com/protein/Z06082-DDC_His_Mouse.html
Z05228,"DSG3, His, Human",100 μg/500 μg/Buy in bulk,340.00/1120.00,> 95% as determined by BisTris PAGE > 90% as determined by HPLC,Less than 1EU per μg by the LAL method.,HEK293,https://www.genscript.com/protein/Z05228-DSG3_His_Human.html
Z03368,"EGF, His, Human",10 μg/50 μg/1 mg/Buy in bulk,34.00/84.00/145.00,> 95% as analyzed by SDS-PAGE,< 0.2 EU/μg of protein by gel clotting method,E. coli,https://www.genscript.com/protein/Z03368-EGF_His_Human.html
Z04444,"ENPP-3 (48-157)[Biotin], His & Avi, Human",100 μg/500 μg/Buy in bulk,660.00/2190.00,> 95% as determined by BisTris PAGE  > 95% as determined by HPLC,Less than 1EU per ug by the LAL method.,HEK293,https://www.genscript.com/protein/Z04444-ENPP_3_48_157_Biotin_His_Avi_Human.html
